filename,width,height,class,xmin,ymin,xmax,ymax
five_0.jpg,640,480,5,32,294,332,480
five_1.jpg,640,480,5,112,287,350,480
five_10.jpg,640,480,5,115,324,397,480
five_11.jpg,640,480,5,132,346,352,480
five_12.jpg,640,480,5,124,285,363,480
five_13.jpg,640,480,5,141,384,336,480
five_14.jpg,640,480,5,106,258,346,480
five_15.jpg,640,480,5,19,215,245,480
five_16.jpg,640,480,5,41,216,311,480
five_17.jpg,640,480,5,135,338,321,480
five_18.jpg,640,480,5,112,327,306,480
five_19.jpg,640,480,5,100,266,331,480
five_2.jpg,640,480,5,20,204,257,480
five_20.jpg,640,480,5,48,223,224,480
five_21.jpg,640,480,5,132,304,367,480
five_22.jpg,640,480,5,40,192,301,480
five_23.jpg,640,480,5,0,64,302,480
five_24.jpg,640,480,5,147,378,329,480
five_25.jpg,640,480,5,122,340,320,480
five_26.jpg,640,480,5,146,378,326,480
five_27.jpg,640,480,5,106,304,336,480
five_28.jpg,640,480,5,87,281,320,480
five_29.jpg,640,480,5,173,389,393,480
five_3.jpg,640,480,5,48,217,263,480
five_30.jpg,640,480,5,110,272,361,480
five_31.jpg,640,480,5,102,274,337,480
five_32.jpg,640,480,5,81,224,304,480
five_33.jpg,640,480,5,41,262,327,480
five_34.jpg,640,480,5,103,298,352,480
five_35.jpg,640,480,5,0,100,338,480
five_36.jpg,640,480,5,132,293,332,480
five_37.jpg,640,480,5,104,308,377,480
five_38.jpg,640,480,5,0,142,405,480
five_39.jpg,640,480,5,125,263,377,480
five_4.jpg,640,480,5,96,270,345,480
five_40.jpg,640,480,5,128,280,377,480
five_41.jpg,640,480,5,147,338,390,480
five_42.jpg,640,480,5,80,208,296,480
five_43.jpg,640,480,5,48,230,226,480
five_44.jpg,640,480,5,83,240,327,480
five_45.jpg,640,480,5,128,332,302,480
five_46.jpg,640,480,5,92,268,322,480
five_47.jpg,640,480,5,78,240,283,480
five_48.jpg,640,480,5,48,276,378,480
five_49.jpg,640,480,5,122,301,336,480
five_5.jpg,640,480,5,116,259,377,480
five_50.jpg,640,480,5,134,318,368,480
five_51.jpg,640,480,5,0,96,341,480
five_52.jpg,640,480,5,88,253,337,480
five_53.jpg,640,480,5,121,293,372,480
five_54.jpg,640,480,5,76,260,275,480
five_55.jpg,640,480,5,121,306,330,480
five_56.jpg,640,480,5,132,320,382,480
five_57.jpg,640,480,5,96,256,292,480
five_58.jpg,640,480,5,48,242,231,480
five_59.jpg,640,480,5,48,240,262,480
five_6.jpg,640,480,5,125,326,343,480
five_60.jpg,640,480,5,44,195,258,480
five_61.jpg,640,480,5,22,185,241,480
five_62.jpg,640,480,5,0,167,401,480
five_63.jpg,640,480,5,0,42,255,480
five_64.jpg,640,480,5,0,70,285,480
five_65.jpg,640,480,5,130,342,301,480
five_66.jpg,640,480,5,147,392,368,480
five_67.jpg,640,480,5,119,336,325,480
five_68.jpg,640,480,5,34,244,295,480
five_69.jpg,640,480,5,40,260,354,480
five_7.jpg,640,480,5,105,294,337,480
five_70.jpg,640,480,5,41,197,332,480
five_71.jpg,640,480,5,0,75,341,480
five_72.jpg,640,480,5,0,120,365,480
five_73.jpg,640,480,5,103,296,318,480
five_74.jpg,640,480,5,136,319,376,480
five_75.jpg,640,480,5,151,335,368,480
five_76.jpg,640,480,5,101,243,337,480
five_77.jpg,640,480,5,138,317,360,480
five_78.jpg,640,480,5,75,244,307,480
five_79.jpg,640,480,5,96,267,352,480
five_8.jpg,640,480,5,84,272,341,480
five_80.jpg,640,480,5,0,94,349,480
five_81.jpg,640,480,5,104,271,343,480
five_82.jpg,640,480,5,96,259,306,480
five_83.jpg,640,480,5,75,232,249,480
five_84.jpg,640,480,5,100,278,325,480
five_85.jpg,640,480,5,41,261,358,480
five_86.jpg,640,480,5,0,0,308,480
